,timestamp,,open_price,highest_price,lowest_price,current_price,volume,market_name
196,1.57386E+12,2019/11/16,0.03,0.03,0.03,0.03,0,BCT_USDT
197,1.57395E+12,2019/11/17,0.03,0.03,0.03,0.03,0,BCT_USDT
198,1.57404E+12,2019/11/18,0.0302,0.0302,0.0301,0.0301,44379,BCT_USDT
199,1.57412E+12,2019/11/19,0.0301,0.0301,0.03,0.03,153266,BCT_USDT
200,1.57421E+12,2019/11/20,0.03,0.03,0.0276,0.0276,11000,BCT_USDT
201,1.57429E+12,2019/11/21,0.0276,0.0276,0.0276,0.0276,43,BCT_USDT
202,1.57438E+12,2019/11/22,0.0281,0.03,0.0281,0.03,52150,BCT_USDT
203,1.57447E+12,2019/11/23,0.03,0.03,0.03,0.03,52203,BCT_USDT
204,1.57455E+12,2019/11/24,0.03,0.03,0.03,0.03,0,BCT_USDT
205,1.57464E+12,2019/11/25,0.03,0.03,0.03,0.03,45647,BCT_USDT
206,1.57473E+12,2019/11/26,0.029,0.029,0.0281,0.0281,110956,BCT_USDT
207,1.57481E+12,2019/11/27,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
208,1.5749E+12,2019/11/28,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
209,1.57499E+12,2019/11/29,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
210,1.57507E+12,2019/11/30,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
211,1.57516E+12,2019/12/1,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
212,1.57524E+12,2019/12/2,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
213,1.57533E+12,2019/12/3,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
214,1.57542E+12,2019/12/4,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
215,1.5755E+12,2019/12/5,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
216,1.57559E+12,2019/12/6,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
217,1.57568E+12,2019/12/7,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
218,1.57576E+12,2019/12/8,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
219,1.57585E+12,2019/12/9,0.0281,0.0281,0.0194,0.0194,133188,BCT_USDT
