,time,open,close,highest,lowest,volume,amount,market_name
253,1583884800,0.00031905,0.00031488,0.00032327,0.00029982,5328368521.71938025,1663431.6694628958452042,BTTUSDT
254,1583971200,0.00031486,0.00017798,0.00031597,0.00016998,5203722069.22372306,1308514.8115072981830574,BTTUSDT
255,1584057600,0.00017800,0.00020499,0.00021749,0.00012232,5569085964.00986597,1049351.8804773489724553,BTTUSDT
256,1584144000,0.00020501,0.00019730,0.00021945,0.00019044,5362494585.45786438,1110839.8181879073018386,BTTUSDT
257,1584230400,0.00019728,0.00021340,0.00022264,0.00019461,5355115420.18256869,1103818.3702443789806226,BTTUSDT
258,1584316800,0.00021338,0.00019207,0.00021338,0.00016918,5429059268.34020147,1041983.5371661237572493,BTTUSDT
259,1584403200,0.00019205,0.00020437,0.00020962,0.00018983,5355015670.72085354,1080814.1748541458031253,BTTUSDT
260,1584489600,0.00020412,0.00019902,0.00020556,0.00019101,5393838399.05480022,1071635.4231818375602000,BTTUSDT
261,1584576000,0.00019900,0.00023041,0.00023739,0.00019882,5371075317.40634528,1153638.3037101631227015,BTTUSDT
262,1584662400,0.00023039,0.00022257,0.00024758,0.00020909,5381303610.98114861,1237795.7041856877482569,BTTUSDT
263,1584748800,0.00022259,0.00022359,0.00023135,0.00021266,5337146413.97573981,1179992.7981566317151652,BTTUSDT
264,1584835200,0.00022361,0.00020328,0.00022811,0.00020324,5309267781.76178008,1154422.6780349955210936,BTTUSDT
265,1584921600,0.00020330,0.00021872,0.00022220,0.00020141,5339989177.77170405,1128781.8882743539064325,BTTUSDT
266,1585008000,0.00021870,0.00021956,0.00022622,0.00021662,5213129701.99393555,1148010.9014749867995061,BTTUSDT
